timestamp,ax,ay,az,gx,gy,gz,label
0.000000,0.003941,-0.034333,0.022445,-0.061304,0.058753,0.121305,rotate
0.020068,0.023344,-0.019270,0.025789,-0.020357,0.103590,0.145165,rotate
0.040136,0.032680,-0.010768,0.023108,0.042412,0.129378,0.157560,rotate
0.060205,0.015488,-0.003551,0.019489,0.056419,0.140261,0.145302,rotate
0.080273,0.006179,-0.009470,0.007488,0.039796,0.140014,0.165623,rotate
0.100341,0.005930,-0.004370,0.000763,-0.012277,0.057589,0.249527,rotate
0.120409,0.003170,0.008388,0.006113,-0.092434,0.053507,0.220066,rotate
0.140477,-0.022540,0.020645,0.002125,-0.095359,0.086544,0.016680,rotate
0.160545,-0.032360,0.038688,-0.008643,-0.003244,0.091780,-0.114876,rotate
0.180613,-0.048196,0.036720,-0.005168,0.075958,0.126115,-0.074523,rotate
0.200681,-0.055561,0.015109,0.005749,0.092178,0.182184,0.045074,rotate
0.220749,-0.047415,0.016822,0.006809,0.065314,0.197979,0.111501,rotate
0.240817,-0.034506,0.031055,-0.005494,0.030872,0.189366,0.050496,rotate
0.260885,-0.013026,0.028828,-0.005398,0.014462,0.161750,-0.044186,rotate
0.280953,-0.007138,0.017259,0.000569,0.045652,0.131147,-0.073251,rotate
0.301021,-0.007021,0.017203,-0.017496,0.105968,0.100847,-0.024270,rotate
0.321089,-0.003221,0.016381,-0.020050,0.089884,0.141486,0.048891,rotate
0.341157,0.017550,0.002593,-0.011007,0.084655,0.133878,0.094397,rotate
0.361225,0.021944,-0.015922,-0.015963,-0.035349,0.099420,-0.031774,rotate
0.381293,0.039468,-0.005831,-0.025962,-0.084687,-0.037777,-0.211086,rotate
0.401361,0.044665,-0.032808,-0.026900,-0.243751,-0.201455,-0.231403,rotate
0.421429,0.044663,-0.055562,-0.053329,-0.288650,-0.157322,-0.153021,rotate
0.441497,0.053243,-0.015269,-0.001121,0.002477,-0.167794,0.128715,rotate
0.461565,0.041687,0.025456,-0.010705,0.157585,-0.133566,0.474249,rotate
0.481633,0.000541,0.004406,-0.021745,0.173238,0.002642,0.701508,rotate
0.501701,-0.014188,0.000509,0.008696,0.100443,0.016271,0.726587,rotate
0.521769,0.024297,-0.030140,-0.011209,-0.025355,-0.086096,0.779446,rotate
0.541837,0.057788,-0.037323,-0.015960,0.139859,-0.207193,1.076688,rotate
0.561905,0.068201,-0.002971,-0.028046,0.412649,-0.271008,1.489697,rotate
0.581974,0.052693,0.033678,-0.062557,0.660506,-0.210951,1.906781,rotate
0.602042,0.039425,0.069902,-0.042371,0.733613,-0.172858,2.337678,rotate
0.622110,0.061190,0.060437,-0.016432,0.557747,0.096345,2.592536,rotate
0.642178,0.104829,0.070189,0.019750,0.372130,0.465917,2.946137,rotate
0.662246,0.194543,0.074558,0.042487,0.289671,0.611311,3.420433,rotate
0.682314,0.214128,0.050145,0.057934,0.539580,0.268963,3.979924,rotate
0.702383,0.299457,0.040198,0.015960,0.956397,0.044692,4.773570,rotate
0.722451,0.231770,0.069861,-0.097311,1.152522,0.029837,5.555032,rotate
0.742519,0.155068,0.116171,-0.166920,0.891752,0.470956,6.085490,rotate
0.762587,0.113524,0.100250,-0.249310,0.748602,0.899518,6.045441,rotate
0.782655,0.208686,0.016960,-0.211708,0.754792,0.539226,5.564392,rotate
0.802723,0.204049,0.187329,-0.148772,0.629894,0.427233,5.699984,rotate
0.822791,-0.118568,0.060040,-0.127911,0.373958,0.738406,5.441398,rotate
0.842859,-0.064519,0.070227,-0.083932,0.033608,0.679818,5.085943,rotate
0.862927,-0.060445,0.057633,-0.051027,-0.193280,0.285840,4.560841,rotate
0.882995,-0.083679,0.032983,0.067212,-0.110537,0.022829,3.939905,rotate
0.903063,-0.145169,0.024879,0.091332,-0.040653,0.084541,3.420731,rotate
0.923131,-0.145863,0.015723,0.134803,-0.088400,-0.182351,2.942579,rotate
0.943199,-0.191802,0.045657,0.084636,-0.098962,-0.376816,2.519947,rotate
0.963267,-0.152893,0.079740,0.046408,0.073231,-0.576586,2.012543,rotate
0.983335,-0.121914,0.075204,0.032472,0.235835,-0.478465,1.514764,rotate
1.003403,-0.109459,0.036134,0.111775,0.196156,-0.184299,1.035262,rotate
1.023471,-0.082968,-0.000258,0.138142,0.115062,0.021333,0.632017,rotate
1.043539,-0.091335,-0.041549,0.101026,-0.013721,0.057445,0.295624,rotate
1.063607,-0.080127,-0.021742,0.132341,-0.157941,-0.138597,0.108996,rotate
1.083675,-0.033264,-0.006155,0.091144,-0.278801,-0.199272,-0.022413,rotate
1.103743,0.003363,0.002495,0.047490,-0.311005,-0.092725,-0.161054,rotate
1.123811,-0.006825,0.001887,0.047455,-0.322550,-0.032336,-0.256534,rotate
1.143879,0.001831,0.001925,0.032527,-0.351892,0.072590,-0.251308,rotate
1.163947,0.021759,0.020784,0.013287,-0.304967,-0.004616,-0.241667,rotate
1.184016,0.059953,0.036909,-0.046061,-0.167766,-0.068754,-0.180226,rotate
1.204084,0.000207,0.010803,-0.039361,-0.058775,-0.141144,-0.176085,rotate
1.224152,-0.018311,0.007595,-0.010792,-0.047899,-0.117642,-0.199274,rotate
1.244220,-0.011257,0.015675,0.006162,-0.055645,-0.004130,-0.190109,rotate
1.264288,0.035660,0.012156,-0.017946,0.018643,-0.001827,-0.138854,rotate
1.284356,0.025847,0.010284,-0.018494,0.100290,-0.068598,-0.076443,rotate
1.304424,-0.015510,-0.008771,0.006622,0.109040,-0.096235,-0.058557,rotate
1.324492,-0.028930,-0.010015,0.033887,0.041343,0.000606,-0.082423,rotate
1.344560,-0.006067,-0.020104,0.027176,-0.000731,0.100517,-0.084056,rotate
1.364628,0.009466,-0.016572,0.012586,-0.012759,0.111103,-0.058216,rotate
1.384696,-0.003488,-0.011402,-0.004508,-0.009374,0.063662,-0.022365,rotate
