timestamp,ax,ay,az,gx,gy,gz,label
0.000000,0.018182,-0.024895,0.041321,-0.131519,0.075957,-0.078040,noise
0.020068,0.004302,-0.028359,0.075303,-0.192662,0.261909,-0.083780,noise
0.040136,-0.011605,-0.022137,0.089074,-0.308544,0.457698,-0.071057,noise
0.060205,-0.040230,-0.023423,0.095020,-0.452311,0.678268,-0.099964,noise
0.080273,-0.032923,-0.004066,0.065549,-0.560984,0.840195,-0.113271,noise
0.100342,0.003986,-0.009571,0.004665,-0.578751,0.845237,-0.073943,noise
0.120410,0.043548,-0.014155,-0.050326,-0.520986,0.757888,0.031824,noise
0.140478,0.017686,-0.009476,-0.063560,-0.389112,0.721199,0.092185,noise
0.160547,-0.016633,-0.005288,-0.052032,-0.275387,0.757878,0.103817,noise
0.180615,-0.021182,0.009728,-0.013943,-0.223952,0.850296,0.128546,noise
0.200684,0.030026,0.031428,-0.035479,-0.218577,0.755898,0.176288,noise
0.220752,0.052147,0.004396,-0.043327,-0.248480,0.455916,0.175035,noise
0.240820,-0.010844,0.006218,0.001262,-0.228088,0.158487,0.134982,noise
0.260889,-0.023937,0.025211,0.026375,-0.303352,0.097906,0.033129,noise
0.280957,-0.011676,0.022907,0.017670,-0.353575,0.082493,-0.060819,noise
0.301026,-0.009523,0.021729,-0.002419,-0.301334,0.061134,-0.057278,noise
0.321094,-0.000874,0.034848,-0.034267,-0.174543,0.109722,-0.032587,noise
0.341162,-0.041624,0.049320,-0.027514,-0.059685,0.274373,-0.070312,noise
0.361231,-0.028686,0.013816,0.023411,-0.054129,0.311345,-0.080344,noise
0.381299,-0.045680,0.029136,0.017318,-0.114068,0.323434,-0.177635,noise
0.401368,-0.025058,0.033191,0.022533,-0.117921,0.294333,-0.214932,noise
0.421436,-0.028114,0.005679,-0.004285,-0.075888,0.337148,-0.265229,noise
0.441504,0.000169,0.010326,-0.003121,-0.044884,0.358321,-0.239454,noise
0.461573,0.015691,0.000371,-0.002455,-0.021663,0.316375,-0.207218,noise
0.481641,0.023131,-0.013109,0.010306,-0.028116,0.258931,-0.180161,noise
0.501709,0.027950,-0.024791,0.052032,-0.140855,0.166114,-0.164826,noise
0.521778,0.017349,-0.037689,0.070630,-0.341645,0.176169,-0.164734,noise
0.541846,0.020785,-0.053961,0.059083,-0.490393,0.143475,-0.137462,noise
0.561915,0.008939,-0.054187,0.016329,-0.547876,0.169998,-0.124859,noise
0.581983,0.033750,0.006188,0.002357,-0.554747,0.187757,-0.041324,noise
0.602051,0.016230,0.014301,-0.015037,-0.568490,0.227318,0.046449,noise
0.622120,-0.014579,-0.019646,-0.035163,-0.533950,0.229787,0.026668,noise
0.642188,-0.006369,0.016958,-0.026178,-0.452140,0.136342,0.012226,noise
0.662257,-0.004299,0.037340,-0.027382,-0.331352,0.036644,0.022057,noise
0.682325,-0.027808,0.004842,-0.017305,-0.196438,-0.068564,0.034112,noise
0.702393,-0.014226,0.016021,-0.032806,-0.111602,-0.092508,0.064875,noise
0.722462,-0.065769,-0.068186,-0.049936,-0.102897,-0.021798,-0.029838,noise
0.742530,-0.049245,-0.050237,0.003287,-0.131017,-0.017261,-0.155860,noise
0.762599,-0.012092,0.012703,0.011817,-0.155804,0.003697,-0.173619,noise
0.782667,0.007320,0.056272,0.004219,-0.151598,0.032997,-0.090646,noise
0.802735,-0.023578,0.043923,-0.041339,-0.039879,0.035415,-0.052923,noise
0.822804,-0.023141,0.049814,-0.061540,0.192199,-0.038258,-0.120512,noise
0.842872,-0.019859,0.076476,-0.057651,0.340100,-0.012060,-0.133991,noise
0.862941,-0.028021,0.036194,-0.031011,0.377665,0.051900,-0.147381,noise
0.883009,0.008868,0.039220,0.000130,0.355443,0.076268,-0.070714,noise
0.903077,0.013497,0.010246,0.006100,0.350973,0.072051,0.033521,noise
0.923146,-0.020361,0.004261,0.033671,0.319628,0.110198,0.054262,noise
0.943214,-0.040014,-0.001394,0.058218,0.238092,0.246326,-0.003608,noise
0.963283,0.003570,0.005477,0.025999,0.221666,0.378337,0.004429,noise
0.983351,0.012501,0.025717,-0.000442,0.310271,0.539261,0.055778,noise
1.003419,-0.046964,-0.019671,-0.039801,0.458225,0.962055,-0.065625,noise
1.023488,-0.120732,-0.050600,-0.030805,0.557564,1.297430,-0.322210,noise
1.043556,-0.057434,-0.026621,-0.006773,0.568845,1.383985,-0.409726,noise
1.063624,0.015472,-0.004690,0.008151,0.473592,0.871776,-0.318880,noise
1.083693,0.030943,-0.036536,-0.002979,0.413371,0.349364,-0.236125,noise
1.103761,-0.048629,-0.050889,-0.061559,0.412252,0.230235,-0.215694,noise
1.123830,-0.087339,-0.078972,-0.114140,0.452468,0.294078,-0.238999,noise
1.143898,-0.088693,-0.049388,-0.137769,0.467242,0.508717,-0.241109,noise
1.163966,-0.085696,0.001854,-0.212706,0.549101,0.708168,-0.265812,noise
1.184035,-0.171687,0.007788,-0.255769,0.809864,0.932103,-0.312202,noise
1.204103,-0.228644,0.016277,-0.187601,1.007282,1.129021,-0.487431,noise
1.224172,-0.216915,-0.015744,-0.074116,1.026945,1.088373,-0.809808,noise
1.244240,-0.125748,-0.048687,-0.016409,0.882506,0.895559,-1.046041,noise
1.264308,0.019180,0.014514,0.045239,0.631009,0.471576,-1.124907,noise
1.284377,0.048234,0.064776,0.045012,0.371629,0.031197,-0.958243,noise
1.304445,0.090279,0.042214,-0.088207,0.424048,-0.265186,-0.825652,noise
1.324513,0.191701,0.082022,-0.067469,0.584326,-0.761228,-0.574120,noise
1.344582,0.286735,0.143667,0.070829,0.485049,-1.525211,-0.232022,noise
1.364650,0.201283,0.168465,0.125142,0.306212,-2.025562,-0.212880,noise
1.384719,0.029309,0.111852,0.191750,-0.010904,-2.102873,-0.538661,noise
1.404787,0.136327,0.169956,0.243589,-0.367410,-1.803531,-0.729341,noise
1.424855,0.240073,0.099181,0.087426,-0.436084,-1.195300,-0.861942,noise
1.444924,0.415228,-0.011146,-0.040165,-0.274835,-1.004426,-0.644270,noise
1.464992,0.485370,-0.085073,-0.111810,-0.160143,-1.066689,-0.350321,noise
1.485061,0.454142,-0.110151,-0.200133,-0.083989,-0.902369,-0.135053,noise
1.505129,0.392507,-0.101241,-0.271897,0.455902,-0.599230,0.040730,noise
1.525197,0.411829,-0.119668,-0.237244,1.060297,-0.273230,0.109745,noise
1.545266,0.501042,-0.124113,-0.131740,1.201175,-0.268112,0.293731,noise
1.565334,0.522566,-0.093207,-0.060069,1.074643,-0.338996,0.687417,noise
1.585403,0.413767,-0.051227,-0.019873,1.060376,-0.179047,1.201102,noise
1.605471,0.281247,0.041277,0.007695,1.176091,0.480648,1.702184,noise
1.625539,0.150981,0.154767,0.068646,1.257415,1.399941,2.097364,noise
1.645608,0.016495,0.210517,0.148678,1.143309,1.987197,2.182626,noise
1.665676,-0.105099,0.206256,0.190468,1.049601,2.019287,1.940126,noise
