timestamp,ax,ay,az,gx,gy,gz,label
0.000000,0.008471,0.010822,-0.025079,0.080368,-0.144286,-0.004964,noise
0.020068,-0.003907,0.005419,0.002321,0.068537,-0.094040,-0.015177,noise
0.040136,-0.013554,0.006690,0.031283,0.039079,-0.075904,-0.034108,noise
0.060205,-0.018010,0.006032,0.034523,-0.000153,-0.014113,-0.057216,noise
0.080273,-0.017263,0.003276,0.050843,-0.044606,0.010482,-0.070453,noise
0.100341,-0.002745,-0.001904,0.045751,-0.110434,-0.011882,-0.067876,noise
0.120410,0.016382,-0.007534,0.038894,-0.215978,-0.040339,-0.035464,noise
0.140478,0.027822,-0.020628,0.012897,-0.257602,-0.093163,0.017765,noise
0.160546,0.025398,-0.022307,-0.014086,-0.229651,-0.114455,0.021860,noise
0.180615,0.011657,-0.015092,-0.012825,-0.174894,-0.132521,0.008915,noise
0.200683,0.004547,-0.012253,0.000447,-0.153908,-0.158252,-0.009307,noise
0.220751,-0.004828,-0.009673,0.018813,-0.173644,-0.170759,-0.012678,noise
0.240820,-0.006059,-0.004817,0.035537,-0.212144,-0.185288,-0.027066,noise
0.260888,-0.017764,-0.014907,0.031401,-0.267790,-0.176978,-0.030831,noise
0.280956,-0.014594,-0.007926,0.025562,-0.295786,-0.178489,-0.034724,noise
0.301025,-0.007168,-0.001518,0.012524,-0.297188,-0.170980,-0.031751,noise
0.321093,-0.004002,0.003763,-0.008861,-0.271130,-0.152700,-0.046235,noise
0.341161,-0.003154,0.002447,-0.011037,-0.224588,-0.133869,-0.047707,noise
0.361230,-0.003185,0.004972,-0.010444,-0.188875,-0.075816,-0.046515,noise
0.381298,-0.004902,0.005018,-0.001313,-0.160747,-0.022002,-0.049075,noise
0.401366,0.003591,0.008218,0.002180,-0.146039,0.005017,-0.044874,noise
0.421435,0.008730,0.007174,-0.002680,-0.114614,-0.004124,-0.034146,noise
0.441503,0.006897,0.008369,-0.009788,-0.074975,0.028906,-0.015570,noise
0.461571,-0.005612,0.015530,-0.013850,-0.046102,0.139385,-0.005189,noise
0.481640,-0.027104,0.026019,-0.019639,0.020092,0.357118,0.002129,noise
0.501708,-0.042730,0.048344,-0.050360,0.159843,0.570606,0.004506,noise
0.521776,-0.035683,0.052037,-0.049443,0.300134,0.611296,-0.015307,noise
0.541845,-0.017061,0.032255,-0.036753,0.366908,0.534610,-0.023641,noise
0.561913,0.019360,0.008577,-0.010571,0.311300,0.427190,0.041473,noise
0.581981,0.036642,-0.024197,0.045655,0.097519,0.321180,0.097357,noise
0.602050,0.008797,-0.042551,0.047257,-0.090150,0.277956,0.102122,noise
0.622118,-0.047759,-0.040809,-0.008553,-0.068565,0.538299,0.047591,noise
0.642187,-0.073781,0.033266,-0.124395,0.261427,0.936289,-0.022788,noise
0.662255,-0.059621,0.078193,-0.118397,0.621134,1.056205,-0.099284,noise
0.682323,-0.031799,0.051894,-0.069334,0.780469,0.977640,-0.122036,noise
0.702392,-0.037333,0.022585,-0.019945,0.738295,0.861449,-0.069781,noise
0.722460,-0.059408,0.009498,-0.011470,0.701170,0.649844,-0.052157,noise
0.742528,-0.061717,0.018872,0.003941,0.688416,0.632321,-0.387228,noise
0.762597,-0.099591,0.006326,0.010568,0.482809,0.894546,-0.754194,noise
0.782665,-0.068957,-0.024442,0.068923,-0.051401,1.403892,-0.876995,noise
0.802733,0.044488,-0.080685,0.064544,-0.505332,1.784225,-0.868708,noise
0.822802,0.090720,-0.072062,-0.050850,-0.680193,2.062287,-0.740641,noise
0.842870,0.087127,0.005929,-0.274222,-0.309263,2.003412,-0.504304,noise
0.862938,0.068909,-0.000566,-0.285204,0.287489,1.346430,-0.381539,noise
0.883007,0.076845,-0.006036,-0.145620,0.217717,0.781278,-0.293634,noise
0.903075,0.138974,-0.011526,0.003077,-0.296589,0.428392,-0.121205,noise
0.923143,0.111738,-0.037470,0.010375,-0.603724,0.239723,0.036683,noise
0.943212,0.062665,-0.015299,-0.026372,-0.634961,0.164976,0.127719,noise
0.963280,0.040220,0.004157,-0.068264,-0.436289,0.095823,0.143119,noise
0.983348,0.022515,0.016318,-0.089014,-0.121044,0.022597,0.168436,noise
1.003417,-0.005535,0.014742,-0.073648,0.189602,-0.054014,0.185134,noise
1.023485,-0.033923,0.011083,-0.055165,0.509867,-0.052346,0.232476,noise
1.043553,-0.041134,0.027595,0.019676,0.629761,0.044517,0.276511,noise
1.063622,-0.084718,0.030649,0.090938,0.553674,0.131720,0.311836,noise
1.083690,-0.120699,0.044510,0.109193,0.484144,0.180307,0.301395,noise
1.103758,-0.164777,0.053033,0.073795,0.497842,0.256726,0.243573,noise
1.123827,-0.188999,0.068653,0.078597,0.469744,0.339716,0.184409,noise
1.143895,-0.206749,0.069034,0.058242,0.454346,0.380709,0.155228,noise
1.163963,-0.210042,0.091184,0.020248,0.529549,0.264185,0.069247,noise
1.184033,-0.229218,0.106115,-0.032298,0.768203,-0.033750,-0.098780,noise
1.204101,-0.214738,0.101935,-0.008842,0.815146,-0.578806,-0.349230,noise
1.224169,-0.178971,0.083682,0.016281,0.691651,-1.296930,-0.643901,noise
1.244238,-0.147687,0.049389,0.032623,0.634665,-2.138433,-0.971202,noise
1.264306,-0.147216,0.036873,0.111683,0.473172,-2.715241,-1.278366,noise
1.284374,-0.126956,-0.001176,0.214957,0.129685,-2.867581,-1.337258,noise
1.304443,0.025176,-0.096946,0.276477,-0.521520,-2.439672,-1.175063,noise
1.324511,0.034141,-0.018866,0.124114,-0.763920,-1.631573,-0.941812,noise
1.344579,0.121778,-0.058094,-0.058467,-0.362879,-0.542450,-0.439920,noise
1.364648,0.294558,-0.208580,-0.068354,0.474947,0.210765,0.212875,noise
1.384716,0.267978,-0.165297,-0.056035,0.954149,0.490932,0.334077,noise
1.404784,0.132803,-0.083105,0.018385,0.787449,0.369168,-0.006237,noise
1.424853,0.075750,-0.059497,0.135657,0.259405,0.139035,-0.334558,noise
1.444921,0.131943,-0.035322,0.122193,-0.250132,-0.195592,-0.428880,noise
1.464989,0.168303,-0.042155,0.102530,-0.538272,-0.588328,-0.355506,noise
1.485058,0.115556,-0.026661,0.051807,-0.628316,-0.652137,-0.312808,noise
1.505126,0.052353,0.037096,0.051620,-0.585928,-0.569296,-0.322513,noise
1.525194,0.043556,0.052062,0.052721,-0.404602,-0.449449,-0.258683,noise
1.545263,0.075017,0.064765,0.088273,-0.266293,-0.411342,-0.125736,noise
1.565331,0.097862,0.077538,0.161325,-0.243358,-0.655039,-0.026659,noise
1.585399,0.174489,0.062123,0.245685,-0.509253,-0.745682,-0.034233,noise
1.605468,0.247650,0.109267,0.253196,-1.160584,-0.708241,-0.016942,noise
1.625536,0.203725,0.078598,0.118699,-1.432874,-0.536959,-0.021964,noise
1.645604,0.177573,0.085152,-0.093746,-1.072383,-0.187128,-0.019850,noise
1.665673,0.200972,0.068265,-0.218915,-0.336610,0.371686,-0.057352,noise
1.685741,0.267144,0.044564,-0.261861,0.431118,0.852795,0.079685,noise
1.705809,0.267391,-0.006868,-0.140912,0.813587,0.883455,0.316626,noise
1.725878,0.231297,-0.055002,0.019106,0.799277,0.627379,0.474854,noise
1.745946,0.173647,-0.089357,0.151383,0.602269,0.125532,0.390295,noise
1.766014,0.152516,-0.077899,0.181348,0.314472,-0.422448,0.180634,noise
1.786083,0.204587,-0.036847,0.160160,-0.007324,-0.953786,0.364575,noise
1.806151,0.284595,-0.039778,0.130228,-0.152255,-1.380915,0.986107,noise
1.826219,0.189196,-0.008898,0.163395,-0.157912,-1.577210,1.543545,noise
1.846288,0.047966,0.064360,0.255827,-0.121829,-1.273799,1.863264,noise
1.866356,-0.109776,0.070322,0.347020,-0.123766,-0.954470,1.843426,noise
1.886424,-0.187791,0.109443,0.458807,-0.339582,-0.902696,1.640432,noise
1.906493,-0.274459,0.125621,0.523462,-0.543681,-1.096287,1.362888,noise
1.926561,-0.310972,0.123925,0.564073,-0.617347,-1.119745,1.075391,noise
1.946629,-0.280763,0.095270,0.611391,-1.109185,-0.789992,0.903769,noise
1.966698,-0.202186,0.189459,0.702218,-2.629987,-0.263537,1.016828,noise
1.986766,-0.216248,0.303823,0.401198,-3.323333,0.077641,1.022776,noise
2.006834,-0.268064,0.316513,-0.248429,-2.663981,0.014924,1.097575,noise
2.026903,-0.237259,0.202649,-1.590318,-1.698155,-2.209494,0.531222,noise
2.046971,-0.041443,0.275712,-1.353983,-0.951024,-3.871572,-0.167168,noise
2.067039,-0.043533,0.054907,-1.111454,-0.039465,-3.450601,-0.069860,noise
2.087107,-0.026616,-0.053418,-0.685483,0.836405,-2.005949,0.228119,noise
2.107176,-0.081560,-0.076314,-0.276659,1.674844,-0.626214,0.354350,noise
2.127244,-0.157478,-0.048327,0.091933,2.020201,0.674715,0.339611,noise
2.147312,-0.188128,-0.005604,0.377369,1.840439,1.782626,0.268462,noise
2.167380,-0.230367,0.005985,0.487713,1.313557,2.845956,-0.042011,noise
2.187448,-0.224407,0.007491,0.410801,0.729710,3.923902,-0.331293,noise
2.207516,-0.140611,0.026053,0.215700,0.231180,4.217603,-0.657431,noise
2.227585,-0.026505,0.035588,0.003042,-0.307125,2.992616,-1.086211,noise
2.247653,0.175844,0.045542,-0.288137,-0.424726,1.347257,-1.328756,noise
2.267721,0.271563,-0.031780,-0.412077,0.015320,0.716463,-1.158252,noise
2.287790,0.236364,-0.051711,-0.333512,0.640255,0.867261,-0.772897,noise
2.307858,0.125987,-0.100695,-0.106830,1.097552,1.426791,-0.560683,noise
2.327926,0.097928,-0.124958,-0.009860,1.201897,2.229570,-0.416397,noise
2.347995,0.116399,-0.127719,0.089705,1.014834,2.727945,-0.157604,noise
2.368063,0.156779,-0.181815,0.129937,0.652618,2.786824,0.076720,noise
2.388131,0.190119,-0.188949,0.163571,0.132690,2.389923,0.316930,noise
2.408200,0.213312,-0.145820,0.103098,-0.360925,1.809445,0.598993,noise
2.428268,0.206490,-0.113560,-0.007897,-0.477199,0.970626,0.981198,noise
2.448336,0.161435,-0.101392,-0.051236,-0.513426,0.208227,1.308431,noise
2.468405,0.112459,-0.061746,0.003920,-0.712529,-0.420702,1.486809,noise
2.488473,0.057265,-0.051652,0.093002,-1.252031,-0.905845,1.543445,noise
2.508541,0.042183,-0.015840,0.191252,-1.986809,-1.341426,1.641406,noise
2.528610,-0.036304,0.049912,0.162132,-2.465195,-1.607776,1.698080,noise
2.548678,-0.124506,0.100363,-0.015791,-2.367980,-1.527163,1.808452,noise
2.568746,-0.160815,0.159040,-0.188491,-1.660361,-1.296808,1.911180,noise
2.588815,-0.195819,0.160143,-0.196935,-0.772014,-1.033263,2.004714,noise
2.608883,-0.209675,0.165476,-0.069934,-0.264621,-0.596834,2.025561,noise
2.628951,-0.219315,0.191144,0.092656,-0.244761,-0.022127,1.909423,noise
2.649019,-0.245678,0.203350,0.117775,-0.294828,0.454364,1.592936,noise
2.669088,-0.234415,0.198974,0.067056,-0.232129,0.603630,1.156598,noise
2.689156,-0.134585,0.190224,-0.018370,-0.012077,0.467455,0.737842,noise
2.709224,-0.060944,0.169004,-0.032826,0.192690,0.015362,0.362079,noise
2.729293,-0.023940,0.159113,0.022447,0.097474,-0.448326,0.086549,noise
2.749361,0.016109,0.140106,0.055513,-0.179351,-0.658112,-0.099928,noise
2.769429,0.037190,0.124457,0.055521,-0.323981,-0.687107,-0.336205,noise
2.789498,0.085106,0.108369,0.021862,-0.220740,-0.548218,-0.553156,noise
2.809566,0.093674,0.047328,-0.020718,0.063329,-0.328727,-0.721054,noise
2.829634,0.199084,0.074924,-0.007518,0.445754,-0.262133,-0.576170,noise
2.849703,0.231566,0.083606,0.048093,0.745405,-0.156951,-0.250626,noise
2.869771,0.168616,0.089296,0.062986,0.816668,0.267305,-0.018044,noise
2.889839,0.178812,0.090367,0.094059,0.712650,0.579753,0.135261,noise
2.909908,0.132480,0.041297,0.129538,0.671465,0.598299,0.106534,noise
2.929976,0.095600,0.073986,0.092963,0.722803,0.651706,-0.021760,noise
2.950044,0.133255,0.077797,0.045339,0.803063,0.623231,-0.077972,noise
2.970113,0.232510,0.026479,0.130759,0.623627,-0.101920,0.077249,noise
2.990181,0.292222,-0.036843,0.251443,-0.068025,-1.042037,0.329911,noise
3.010249,0.230507,-0.064019,0.308575,-0.861022,-1.696530,0.407540,noise
3.030318,0.094660,-0.021829,0.254632,-1.353866,-1.725914,0.192166,noise
3.050386,-0.006642,-0.084831,0.003308,-1.203916,-1.371138,-0.119043,noise
3.070454,0.112881,-0.054092,-0.070858,-0.577207,-1.400194,0.007904,noise
3.090522,0.143715,-0.053736,-0.090875,0.055390,-1.252344,0.250347,noise
3.110591,0.207954,-0.059618,-0.020352,0.158660,-0.648568,0.653691,noise
3.130659,0.168745,-0.075645,-0.046023,0.158987,0.167707,1.182138,noise
3.150727,0.101744,-0.072737,-0.087461,0.456268,0.736483,1.573107,noise
3.170797,-0.001996,-0.029171,-0.138325,0.887002,1.106879,1.745261,noise
3.190865,-0.134097,-0.034767,-0.141892,1.258119,1.419419,1.659430,noise
3.210933,-0.186491,-0.017642,-0.097890,1.278157,1.772206,1.494255,noise
3.231002,-0.165945,-0.021838,-0.088433,1.102204,1.921699,1.458671,noise
3.251070,-0.112466,-0.019363,-0.089348,0.775683,1.869101,1.540655,noise
3.271138,-0.126753,0.008629,-0.168960,0.677916,1.649426,1.568845,noise
3.291207,-0.183779,0.043549,-0.243466,0.916713,1.287207,1.374616,noise
3.311275,-0.237781,0.086988,-0.172979,1.126096,0.831828,1.129418,noise
3.331343,-0.320358,0.147129,-0.027359,1.161131,0.475242,0.809266,noise
3.351412,-0.396148,0.143228,0.045030,1.099331,0.495950,0.435743,noise
3.371480,-0.396242,0.186937,0.061718,1.044804,0.754088,0.147479,noise
3.391548,-0.381739,0.146989,0.023662,0.862203,1.081405,-0.021947,noise
3.411616,-0.291368,0.174436,0.042826,0.649344,1.071733,-0.083415,noise
3.431685,-0.214532,0.128375,0.041311,0.448956,0.742508,-0.193649,noise
3.451753,-0.161944,0.122960,0.051301,0.177488,0.321435,-0.306345,noise
3.471821,-0.149855,0.099106,0.045106,-0.035780,-0.096705,-0.420989,noise
3.491890,-0.152812,0.070123,0.030940,-0.143404,-0.447791,-0.516675,noise
